iter	Passed	Remaining
289	4990	3613
290	5008	3597
291	5026	3580
292	5042	3562
293	5058	3544
294	5074	3526
295	5091	3508
296	5107	3490
297	5123	3473
298	5140	3455
299	5153	3435
300	5168	3417
301	5184	3399
302	5200	3381
303	5217	3363
304	5232	3345
305	5251	3329
306	5267	3311
307	5283	3293
308	5298	3275
309	5313	3256
310	5328	3238
311	5343	3219
312	5365	3205
313	5384	3189
314	5401	3172
315	5426	3159
316	5444	3143
317	5461	3125
318	5482	3110
319	5503	3095
320	5519	3078
321	5536	3060
322	5551	3042
323	5567	3024
324	5581	3005
325	5597	2987
326	5614	2970
327	5631	2953
328	5649	2936
329	5664	2917
330	5680	2900
331	5697	2883
332	5713	2865
333	5729	2847
334	5744	2829
335	5760	2811
336	5774	2792
337	5790	2775
338	5807	2758
339	5822	2740
340	5836	2721
341	5851	2703
342	5867	2685
343	5882	2667
344	5898	2649
345	5913	2632
346	5928	2614
347	5941	2595
348	5956	2577
349	5970	2558
350	5987	2541
351	6004	2524
352	6021	2507
353	6038	2490
354	6055	2473
355	6071	2455
356	6087	2438
357	6102	2420
358	6117	2402
359	6133	2385
360	6146	2366
361	6163	2349
362	6179	2332
363	6194	2314
364	6210	2297
365	6226	2279
366	6242	2262
367	6259	2245
368	6276	2228
369	6290	2210
370	6306	2192
371	6322	2175
372	6338	2158
373	6357	2141
374	6373	2124
375	6391	2107
376	6408	2090
377	6422	2073
378	6439	2055
379	6453	2038
380	6468	2020
381	6485	2003
382	6500	1985
383	6513	1967
384	6527	1949
385	6542	1932
386	6556	1914
387	6573	1897
388	6589	1880
389	6604	1862
390	6619	1845
391	6632	1827
392	6648	1810
393	6663	1792
394	6685	1777
395	6699	1759
396	6714	1742
397	6730	1724
398	6745	1707
399	6760	1690
400	6776	1673
401	6791	1655
402	6805	1638
403	6819	1620
404	6835	1603
405	6858	1588
406	6878	1571
407	6896	1555
408	6914	1538
409	6931	1521
410	6950	1505
411	6967	1488
412	6983	1471
413	7000	1454
414	7015	1436
415	7033	1420
416	7049	1403
417	7066	1386
418	7083	1369
419	7100	1352
420	7114	1335
421	7130	1317
422	7145	1300
423	7161	1283
424	7178	1266
425	7193	1249
426	7212	1232
427	7229	1216
428	7248	1199
429	7266	1182
430	7280	1165
431	7295	1148
432	7311	1131
433	7328	1114
434	7344	1097
435	7359	1080
436	7375	1063
437	7390	1046
438	7405	1029
439	7421	1012
440	7437	995
441	7451	977
442	7463	960
443	7477	943
444	7491	925
445	7506	908
446	7521	891
447	7536	874
448	7551	857
449	7567	840
450	7583	823
451	7599	807
452	7619	790
453	7636	773
454	7656	757
455	7674	740
456	7691	723
457	7708	706
458	7727	690
459	7745	673
460	7762	656
461	7777	639
462	7792	622
463	7814	606
464	7833	589
465	7850	572
466	7865	555
467	7881	538
468	7896	521
469	7912	505
470	7926	488
471	7940	471
472	7955	454
473	7971	437
474	7988	420
475	8004	403
476	8018	386
477	8035	369
478	8050	352
479	8066	336
480	8081	319
481	8096	302
482	8111	285
483	8127	268
484	8142	251
485	8156	234
486	8170	218
487	8185	201
488	8202	184
489	8217	167
490	8233	150
491	8253	134
492	8268	117
493	8283	100
494	8298	83
495	8313	67
496	8331	50
497	8347	33
498	8362	16
499	8377	0
