iter	RMSE
352	575.4263016
353	575.378937
354	575.3348219
355	575.2818533
356	575.1853023
357	575.1042883
358	574.9966687
359	574.9618819
360	574.9091443
361	574.8445597
362	574.7752679
363	574.7395975
364	574.6490424
365	574.6034114
366	574.53365
367	574.4819154
368	574.3965664
369	574.3569006
370	574.3105409
371	574.2664989
372	574.2022726
373	574.1434551
374	574.1154543
375	574.0719623
376	574.0423695
377	573.9866702
378	573.9200902
379	573.8710523
380	573.8224502
381	573.7727998
382	573.7392554
383	573.6933218
384	573.6539073
385	573.6048609
386	573.5565026
387	573.4812488
388	573.4226104
389	573.3433808
390	573.3069627
391	573.2802527
392	573.2226764
393	573.1682847
394	573.1023316
395	573.0712805
396	572.9903908
397	572.958116
398	572.8698173
399	572.810361
400	572.745667
401	572.7009026
402	572.660631
403	572.6235804
404	572.5292929
405	572.5004963
406	572.4489017
407	572.4124546
408	572.3305733
409	572.2941768
410	572.2614268
411	572.2369497
412	572.2055229
413	572.1389093
414	572.0916712
415	572.0224151
416	571.9911125
417	571.9461012
418	571.9191201
419	571.8652495
420	571.8075023
421	571.765297
422	571.7129726
423	571.683848
424	571.6562945
425	571.6315486
426	571.5486987
427	571.4931002
428	571.456924
429	571.4105857
430	571.3712085
431	571.3162624
432	571.2668483
433	571.2035827
434	571.1636571
435	571.1268996
436	571.0855875
437	571.0436837
438	571.0103035
439	570.9695758
440	570.9177716
441	570.8808285
442	570.8579221
443	570.8268596
444	570.799244
445	570.7574363
446	570.710596
447	570.6863435
448	570.6476403
449	570.6092722
450	570.5622228
451	570.534028
452	570.5053491
453	570.4855892
454	570.4534332
455	570.4279171
456	570.3947595
457	570.3554545
458	570.3177248
459	570.2747002
460	570.2262964
461	570.1988869
462	570.1818785
463	570.160636
464	570.1314131
465	570.0877607
466	570.0513483
467	569.9968025
468	569.9739255
469	569.9524781
470	569.9335785
471	569.9018485
472	569.8409682
473	569.8215157
474	569.7818162
475	569.7551294
476	569.7304814
477	569.6819808
478	569.6556672
479	569.6360772
480	569.606154
481	569.5614035
482	569.5143733
483	569.4604111
