iter	Passed	Remaining
399	21080	10540
400	21126	10484
401	21168	10426
402	21211	10369
403	21254	10311
404	21303	10257
405	21354	10203
406	21397	10146
407	21440	10089
408	21486	10033
409	21529	9977
410	21573	9920
411	21618	9864
412	21668	9811
413	21718	9757
414	21765	9702
415	21810	9646
416	21855	9591
417	21898	9534
418	21946	9480
419	21994	9426
420	22041	9371
421	22091	9318
422	22135	9262
423	22181	9207
424	22234	9155
425	22287	9103
426	22332	9047
427	22376	8992
428	22424	8938
429	22469	8883
430	22510	8826
431	22554	8771
432	22599	8716
433	22648	8662
434	22692	8607
435	22734	8551
436	22778	8496
437	22820	8440
438	22861	8384
439	22912	8331
440	22959	8277
441	23005	8223
442	23050	8169
443	23098	8115
444	23148	8062
445	23191	8007
446	23234	7952
447	23276	7897
448	23317	7841
449	23359	7786
450	23408	7733
451	23449	7678
452	23492	7623
453	23533	7568
454	23575	7512
455	23616	7457
456	23667	7405
457	23726	7356
458	23782	7305
459	23831	7253
460	23873	7198
461	23918	7144
462	23963	7090
463	24005	7036
464	24047	6981
465	24088	6926
466	24132	6872
467	24182	6820
468	24229	6767
469	24269	6712
470	24310	6658
471	24352	6604
472	24400	6551
473	24449	6499
474	24500	6447
475	24542	6393
476	24585	6339
477	24632	6286
478	24681	6234
479	24735	6183
480	24780	6130
481	24823	6077
482	24865	6023
483	24940	5977
484	24989	5925
485	25033	5872
486	25077	5818
487	25118	5764
488	25163	5712
489	25210	5659
490	25252	5606
491	25295	5552
492	25337	5499
493	25380	5445
494	25429	5394
495	25476	5341
496	25522	5289
497	25564	5236
498	25612	5184
499	25658	5131
500	25706	5079
501	25752	5027
502	25795	4974
503	25839	4921
504	25881	4868
505	25926	4816
506	25974	4764
507	26020	4712
508	26064	4659
509	26111	4607
510	26156	4555
511	26202	4503
512	26252	4452
513	26297	4400
514	26339	4347
515	26381	4294
516	26422	4241
517	26469	4190
518	26512	4137
519	26556	4085
520	26603	4033
521	26645	3981
522	26694	3930
523	26749	3879
524	26793	3827
525	26843	3776
526	26888	3724
527	26935	3673
528	26982	3621
529	27028	3569
530	27077	3518
531	27123	3466
532	27171	3415
533	27218	3364
534	27261	3312
535	27308	3260
536	27356	3209
537	27400	3157
538	27444	3105
539	27488	3054
540	27533	3002
541	27580	2951
542	27629	2900
543	27675	2848
544	27720	2797
545	27766	2746
546	27809	2694
547	27860	2643
548	27907	2592
549	27954	2541
550	27999	2489
551	28041	2438
552	28085	2386
553	28134	2336
554	28181	2285
555	28227	2233
556	28276	2182
557	28319	2131
558	28364	2080
559	28412	2029
560	28456	1978
561	28499	1926
562	28542	1875
563	28587	1824
564	28632	1773
565	28680	1722
566	28723	1671
567	28769	1620
568	28814	1569
569	28857	1518
570	28904	1468
571	28954	1417
572	28997	1366
573	29039	1315
574	29083	1264
575	29127	1213
576	29177	1163
577	29235	1112
578	29287	1062
579	29329	1011
580	29374	960
581	29418	909
582	29462	859
583	29522	808
584	29573	758
585	29623	707
586	29669	657
587	29718	606
588	29765	555
589	29810	505
590	29861	454
591	29910	404
592	29961	353
593	30008	303
594	30126	253
595	30167	202
596	30209	151
597	30253	101
598	30307	50
599	30355	0
